1,"General Edward Lawrence Logan Intl","Boston","United States","BOS","KBOS",42.364347,-71.005181,19,-5,"A"
10,"Stansted","London","United Kingdom","STN168","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN169","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN170","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN171","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN172","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN173","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN174","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN175","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN176","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN177","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN178","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN179","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN180","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN181","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN182","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN183","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN184","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN185","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN186","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN187","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN188","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN189","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN190","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN191","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN192","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN193","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN194","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN195","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN196","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN197","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN198","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN199","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN200","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN201","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN202","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN203","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN204","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN205","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN206","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN207","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN208","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN209","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN210","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN211","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN212","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN213","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN214","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN215","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN216","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN217","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN218","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN219","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN220","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN221","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN222","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN223","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN224","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN225","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN226","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN227","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN228","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN229","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN230","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN231","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN232","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN233","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN234","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN235","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN236","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN237","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN238","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN239","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN240","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN241","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN242","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN243","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN244","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN245","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN246","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN247","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN248","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN249","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN250","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN251","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN252","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN253","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN254","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN255","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN256","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN257","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN258","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN259","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN260","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN261","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN262","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN263","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN264","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN265","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN266","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN267","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN268","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN269","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN270","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN271","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN272","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN273","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN274","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN275","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN276","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN277","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN278","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN279","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN280","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN281","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN282","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN283","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN284","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN285","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN286","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN287","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN288","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN289","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN290","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN291","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN292","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN293","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN294","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN295","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN296","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN297","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN298","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","STN299","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN0","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN1","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN2","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN3","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN4","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN5","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN6","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN7","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN8","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN9","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN10","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN11","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN12","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN13","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN14","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN15","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN16","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN17","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN18","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN19","EGSS",51.885,0.235,348,0,"E"
10,"Stansted","London","United Kingdom","1STN20","EGSS",51.885,0.235,348,0,"E"
